,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
0,1122.848,794.18427,3801.613,-1724.2245,-754.4085,665.2028,789.4651,-1120.7338,914.9502,1379.1145,-120.43115,0.0
1,-177.82425,-2216.006,3549.6636,-3836.122,1528.5283,200.94543,2734.7476,-1514.1907,-614.73755,1051.7197,431.8886,0.0
2,309.28912,-1941.5203,2289.3743,-6613.1377,1475.6981,-153.20917,2743.1921,-1651.5029,-827.0209,1235.9127,364.32733,0.0
3,823.3029,-759.7828,1227.047,-5418.036,777.0673,-108.13424,2537.144,-938.27765,-1243.3887,1116.2568,144.60059,0.0
4,302.5927,231.99174,575.527,-1321.2432,394.48715,214.63313,2059.768,-136.30522,-1750.6664,773.5309,-436.78503,0.0
5,-747.9154,1402.9146,797.5729,1329.5582,104.03635,767.33264,1406.4667,-496.87234,-1584.9506,844.9218,-1288.286,200.0
6,417.12854,4475.183,4599.333,458.86667,-422.1706,2259.4438,2435.8345,-1368.1306,113.88232,2489.675,-1359.089,4100.0
7,7533.6406,11126.277,16503.219,5171.9653,-113.72442,6120.8726,8916.3955,807.68146,3463.663,6864.6743,1152.7316,14200.0
8,21718.45,21057.303,37473.19,28522.445,3692.5789,13209.909,23042.293,8892.048,7601.405,14157.249,7006.349,44800.00000000001
9,39479.645,31786.055,61572.824,65984.836,12527.06,22464.389,41738.89,20899.938,11344.767,23096.615,14680.091,49500.0
10,55365.145,40482.336,81599.06,98926.64,24247.31,31409.61,58912.55,32044.785,13848.898,31563.771,21731.902,55300.0
11,65770.25,45540.41,94455.484,119506.16,34906.6,37855.05,70484.73,39296.47,14718.869,37682.395,26599.555,75200.0
12,69849.94,46640.59,99880.78,129148.59,42004.33,40674.047,75407.46,42359.836,13883.929,40412.098,28789.477,76800.0
13,68028.23,44145.508,98358.56,130598.586,45018.043,39549.645,73964.09,42055.43,11561.8545,39535.312,28282.707,67000.0
14,60479.832,38754.496,89973.57,124398.71,44286.867,34679.22,66330.08,38665.668,8320.001,35455.85,25145.998,67900.0
15,47064.047,31523.172,73686.49,107784.49,40157.63,26859.434,52228.805,31486.148,5020.0957,29039.795,19634.44,56400.0
16,29080.2,23872.5,49186.812,77561.19,32937.516,17721.57,32708.367,20549.383,2462.5112,21477.36,12740.953,39000.0
17,11198.667,17237.033,22328.514,39770.684,23586.197,9474.662,12999.883,9049.805,945.5579,14073.357,6421.2417,19900.0
18,-535.55505,12478.922,5230.845,12192.051,14292.366,3845.9622,548.5032,1518.5164,231.84706,7936.6445,2459.6106,7900.0
19,-4416.2515,9609.691,830.1524,1649.3165,7525.5107,1105.0677,-3158.3894,-1239.6361,-70.883896,3671.3943,978.05493,1100.0
20,-3917.5322,8070.147,237.58708,-1499.179,4070.8364,307.4801,-3140.6611,-1679.0654,-210.99603,1262.8099,835.072,0.0
21,-2865.7112,7225.3784,-37.24487,-1585.21,2816.6892,342.7506,-2614.4375,-1451.5126,-257.5078,275.9572,1048.8123,0.0
22,-3126.2598,6689.167,349.12415,908.1568,2395.933,617.6046,-2116.4644,-931.12683,-134.48909,283.14438,1173.1849,0.0
23,-4724.147,6419.6733,382.54535,3489.3271,2101.4275,1185.123,-2380.986,-354.0083,352.9604,1263.2932,1013.21106,0.0
24,2042.7725,1245.5541,3307.335,-2254.2898,2338.1726,260.8881,-564.90704,-152.65266,1212.678,1101.1359,-885.2818,0.0
25,592.3628,-575.3672,4717.819,-1406.02,2623.3691,-149.71997,668.4539,-386.07578,1315.1259,129.59882,-2015.9591,0.0
26,-333.75116,-363.29166,3980.3245,-2959.7788,2048.3633,-607.1211,328.11136,-580.2768,1202.988,294.96472,-936.11475,0.0
27,-1824.3424,78.05852,2928.5364,-2305.3323,805.7564,-310.4073,250.91676,-143.13246,1017.3911,103.347404,321.42685,0.0
28,-4172.286,125.59275,1622.6666,-270.70795,-822.64557,816.0502,98.03242,-53.597458,1116.6023,-563.09283,1608.2754,0.0
29,-5272.578,703.2813,-91.97693,-390.97412,-1854.6418,3106.447,109.92782,-658.63464,2236.141,-672.08356,2917.0046,1400.0000000000002
30,243.18628,4125.793,959.5437,-2961.2935,223.38124,7890.2144,2392.638,1059.7291,6661.7246,1672.5531,5314.521,7299.999999999999
31,18167.402,12391.193,12261.757,3402.3525,8370.859,16814.953,9854.262,9935.555,16867.875,7936.6143,10826.547,19900.0
32,48708.438,24852.568,36744.17,31278.389,22578.416,29500.115,22256.648,26107.748,31568.451,17663.54,20040.637,26500.0
33,83823.766,38131.973,65571.85,69913.79,38688.36,42781.0,35257.48,43653.633,45686.027,28466.398,30522.52,41500.0
34,112301.19,48597.52,88617.4,99966.49,51908.016,53310.535,44843.492,56838.797,55267.76,37597.37,39091.094,52900.00000000001
35,127930.51,54304.332,102875.48,116902.52,59919.84,59534.707,49945.695,63780.402,59357.52,43276.316,44183.52,37800.0
36,131735.2,54893.492,108980.11,123896.01,62570.25,61178.59,51056.746,65265.336,58285.15,44864.312,45614.85,47900.0
37,127402.13,50734.004,107957.8,123747.91,60377.656,58302.086,48605.56,62727.535,52426.24,42522.438,43605.17,50499.99999999999
38,116788.46,42555.336,99557.586,115950.54,53587.613,51001.535,42486.645,56907.77,42192.348,36947.902,38343.574,31400.0
39,98234.695,31706.416,81436.61,96008.734,42206.746,39717.254,32703.62,47524.15,28812.354,29244.94,30115.47,44300.0
40,68393.08,20401.385,52949.926,60727.406,27397.764,26000.834,20868.652,34694.945,15226.286,20791.203,20034.994,34500.0
41,29906.752,11114.352,23707.436,22018.615,13061.541,12911.7,10594.106,20945.91,5228.974,12985.498,10558.726,18000.0
42,-1690.8384,5236.838,9277.498,1972.8888,3839.3557,3634.4236,4682.0186,10125.9375,352.3312,6885.664,4121.5317,7299.999999999999
43,-12710.255,2417.7725,7146.578,-1960.9718,145.11069,-906.54816,2447.67,3773.3213,-1166.6313,2901.2354,1044.6047,1500.0
44,-11153.578,1328.3762,5867.706,-3431.991,-1254.8745,-2147.07,1736.8386,678.61694,-1441.5651,765.14355,-4.9231462,0.0
45,-9226.357,787.63184,4784.3745,-2777.206,-2388.1707,-1894.6676,1498.1714,-600.87646,-1273.0267,-129.56723,-181.25575,0.0
46,-10925.862,306.42316,4469.1196,8.01405,-3510.1414,-1423.4852,1368.7096,-706.6639,-721.4884,-188.20674,-10.94319,0.0
47,-18201.498,195.26213,3173.5122,1181.3314,-4523.7524,-1500.2026,1104.8857,341.3476,1100.2504,797.5378,370.9612,0.0
48,1674.4678,1217.1085,636.08093,899.9455,2329.806,1624.2003,724.685,-785.0849,510.20364,586.0384,-778.9566,0.0
49,438.66916,-398.03497,559.5775,569.20245,3105.1208,885.6994,1530.4342,-410.85297,-156.74217,155.51349,720.47107,0.0
50,331.64532,272.98102,443.42795,-392.75223,3240.0645,562.41614,1344.2642,120.84813,155.8615,741.8898,1182.8137,0.0
51,-45.72004,1221.4039,191.5477,-844.9853,3229.713,314.59686,72.52924,179.95038,58.728127,938.97205,1263.1012,0.0
52,-1370.0238,1662.2556,-407.94797,-1014.4204,3114.1548,-251.19872,-1939.525,-321.6144,-325.63464,845.01416,967.3499,0.0
53,-2424.2727,2307.8123,-1178.5128,-1610.5583,2886.0857,-281.79,-3952.163,-847.24646,-563.23334,1175.4187,564.7359,400.0
54,648.6298,5239.384,-493.5936,-1628.2454,3581.8257,2847.5752,-5043.979,-294.73593,-282.65137,2909.821,892.13354,5300.0
55,12439.109,12366.077,4584.4404,3927.7961,7547.924,11339.111,-4705.551,2017.2993,653.56665,6852.516,3083.123,21900.000000000004
56,33690.457,23263.031,15408.456,20023.873,16325.63,24043.578,-3246.5793,5639.2485,2092.683,13023.097,7534.9917,42600.0
57,59129.47,34992.438,29210.283,42629.94,28155.975,37081.977,-1456.9716,9437.004,3678.689,20409.936,13287.927,51600.0
58,81039.14,44283.625,41381.312,62103.664,39170.99,47098.29,-2.1538363,12436.479,5020.9824,27404.674,18749.33,51900.00000000001
59,94549.805,49322.156,49180.273,73898.445,46603.445,52605.008,772.1448,14172.75,5827.185,32532.691,22729.764,58900.0
60,99212.96,49726.24,52062.49,78724.766,49732.215,53269.27,728.27814,14541.08,5956.45,34902.957,24691.594,61200.00000000001
61,96625.78,45817.613,50122.39,77976.99,48848.793,49177.688,-120.43566,13533.661,5423.4517,34269.574,24481.107,56700.0
62,87615.59,38320.305,43076.89,71304.21,44275.633,40767.52,-1536.6577,11171.427,4381.066,30924.06,22118.256,52900.00000000001
63,71303.89,28579.367,30732.75,56482.633,36235.72,29315.209,-3025.6235,7723.9116,3078.4043,25571.998,17876.861,46900.0
64,47117.21,18673.488,15383.0,33097.13,25654.69,17322.744,-4027.7612,3933.9644,1784.5935,19199.674,12569.808,24400.0
65,19489.186,10747.884,3254.9924,9229.7705,15008.445,7716.239,-4255.1855,777.0515,699.65454,12884.08,7560.9136,21700.000000000004
66,-1215.5983,5855.8564,-1058.3195,-2989.9507,7280.1943,2050.8557,-3836.0784,-1151.0889,-96.31554,7540.154,4067.5813,8600.0
67,-8899.356,3548.746,-702.90594,-4729.7246,3352.7273,-255.66557,-3136.5796,-1898.9031,-625.1806,3687.7112,2345.9236,1000.0
68,-8664.565,2625.5552,-93.321945,-4593.408,1741.5002,-769.09064,-2507.8716,-1855.1277,-950.4179,1372.12,1808.8718,0.0
69,-7520.3374,2068.943,-30.331259,-4381.2256,881.20355,-683.72797,-2176.2827,-1394.1771,-1123.4979,315.13358,1763.6812,0.0
70,-8610.176,1478.1538,-708.32855,-4029.9617,112.76512,-411.47937,-2238.8064,-777.18427,-1159.6117,230.1624,1784.3917,0.0
